OrderID,OrderDate,CustomerID,State,ProductID,ProductName,Quantity
CA-2016-152156,11/8/2016,CG-12520,Kentucky,FUR-BO-10001798,Bush Somerset Collection Bookcase,2
CA-2016-152156,11/8/2016,CG-12520,Kentucky,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3
CA-2016-138688,6/12/2016,DV-13045,California,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,2
US-2015-108966,10/11/2015,SO-20335,Florida,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,5
US-2015-108966,10/11/2015,SO-20335,Florida,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,2
CA-2014-115812,6/9/2014,BH-11710,California,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7
CA-2014-115812,6/9/2014,BH-11710,California,OFF-AR-10002833,Newell 322,4
CA-2014-115812,6/9/2014,BH-11710,California,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,6
CA-2014-115812,6/9/2014,BH-11710,California,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,3
CA-2014-115812,6/9/2014,BH-11710,California,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,5
CA-2014-115812,6/9/2014,BH-11710,California,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,9
CA-2014-115812,6/9/2014,BH-11710,California,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,4
CA-2017-114412,4/15/2017,AA-10480,North Carolina,OFF-PA-10002365,Xerox 1967,3
CA-2016-161389,12/5/2016,IM-15070,Washington,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,3
CA-2014-105893,11/11/2014,PK-19075,Wisconsin,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",6
CA-2014-167164,5/13/2014,AG-10270,Utah,OFF-ST-10000107,Fellowes Super Stor/Drawer,2
CA-2014-143336,8/27/2014,ZD-21925,California,OFF-AR-10003056,Newell 341,2
CA-2014-143336,8/27/2014,ZD-21925,California,TEC-PH-10001949,Cisco SPA 501G IP Phone,3
CA-2014-143336,8/27/2014,ZD-21925,California,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",4
CA-2016-137330,12/9/2016,KB-16585,Nebraska,OFF-AR-10000246,Newell 318,7
CA-2016-137330,12/9/2016,KB-16585,Nebraska,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",7
US-2017-156909,7/16/2017,SF-20065,Pennsylvania,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",2
CA-2015-106320,9/25/2015,EB-13870,Utah,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,3
CA-2016-121755,1/16/2016,EH-13945,California,OFF-BI-10001634,Wilson Jones Active Use Binders,2
